iter	Passed	Remaining
0	217	217360
1	221	110455
2	225	74921
3	228	56969
4	231	46164
5	235	39044
6	240	34067
7	243	30199
8	245	27028
9	248	24615
10	250	22510
11	252	20753
12	253	19254
13	255	17980
14	256	16861
15	258	15893
16	260	15035
17	262	14300
18	264	13634
19	265	13014
20	267	12457
21	268	11953
22	270	11488
23	272	11064
24	273	10673
25	275	10316
26	277	10006
27	279	9695
28	280	9406
29	282	9135
30	284	8880
31	285	8641
32	287	8418
33	288	8209
34	290	8011
35	292	7824
36	293	7643
37	296	7494
38	299	7391
39	302	7271
40	305	7142
41	310	7082
42	313	6975
43	315	6851
44	318	6750
45	321	6677
46	323	6564
47	325	6463
48	327	6358
49	329	6256
50	330	6156
51	332	6063
52	336	6007
53	337	5920
54	339	5836
55	341	5752
56	343	5678
57	345	5604
58	346	5531
59	349	5476
60	351	5410
61	353	5355
62	356	5295
63	358	5238
64	360	5179
65	362	5128
66	366	5100
67	367	5033
68	368	4975
69	370	4919
70	371	4864
71	373	4810
72	378	4805
73	384	4810
74	387	4780
75	389	4732
76	390	4684
77	392	4637
78	400	4663
79	402	4626
80	404	4590
81	406	4551
82	408	4509
83	411	4492
84	414	4456
85	416	4424
86	418	4388
87	420	4353
88	426	4368
89	431	4358
90	433	4327
91	434	4290
92	436	4253
93	437	4217
94	445	4244
95	447	4213
96	449	4181
97	450	4147
98	452	4114
99	453	4081
100	460	4097
101	461	4060
102	462	4030
103	464	4000
104	466	3973
105	467	3943
106	474	3960
107	476	3934
108	477	3906
109	479	3878
110	481	3852
111	482	3824
112	487	3823
113	490	3814
114	492	3789
115	493	3762
116	495	3737
117	497	3716
118	498	3690
119	503	3695
120	506	3678
121	508	3657
122	509	3629
123	510	3605
124	511	3581
125	513	3558
126	515	3543
127	517	3524
128	519	3504
129	520	3482
130	521	3461
131	523	3440
132	524	3419
133	525	3398
134	527	3379
135	530	3367
136	532	3355
137	533	3335
138	535	3316
139	536	3297
140	538	3279
141	539	3260
142	541	3242
143	542	3224
144	544	3212
145	546	3197
146	548	3182
147	549	3165
148	551	3148
149	552	3132
150	554	3115
151	555	3098
152	556	3082
153	558	3066
154	561	3060
155	563	3046
156	564	3031
157	566	3017
158	567	3003
159	569	2990
160	571	2980
161	574	2969
162	577	2963
163	578	2948
164	579	2935
165	581	2920
166	582	2906
167	584	2892
168	585	2879
169	586	2865
170	588	2851
171	590	2841
172	591	2828
173	593	2815
174	594	2802
175	595	2789
176	597	2777
177	598	2764
178	600	2752
179	601	2739
180	602	2724
