iter	Passed	Remaining
0	228	228279
1	235	117291
2	236	78677
3	238	59312
4	239	47708
5	247	41046
6	249	35412
7	251	31224
8	254	27982
9	263	26042
10	265	23852
11	266	21980
12	268	20386
13	270	19028
14	280	18418
15	282	17382
16	284	16427
17	289	15811
18	291	15044
19	292	14345
20	294	13712
21	295	13138
22	296	12612
23	304	12370
24	305	11929
25	307	11519
26	309	11144
27	311	10804
28	318	10668
29	320	10363
30	321	10063
31	323	9780
32	324	9515
33	326	9266
34	332	9162
35	334	8957
36	336	8748
37	337	8553
38	339	8360
39	340	8175
40	342	8000
41	347	7934
42	349	7779
43	351	7627
44	352	7485
45	354	7347
46	355	7214
47	363	7204
48	365	7087
49	367	6977
50	369	6867
51	371	6776
52	375	6700
53	377	6610
54	379	6513
55	381	6425
56	382	6335
57	384	6243
58	391	6239
59	393	6164
60	395	6086
61	397	6006
62	399	5934
63	406	5942
64	408	5869
65	409	5796
66	411	5728
67	412	5659
68	414	5590
69	421	5597
70	422	5534
71	424	5473
72	426	5410
73	427	5348
74	428	5288
75	430	5230
76	436	5238
77	439	5190
78	440	5137
79	442	5084
80	443	5032
81	445	4983
82	447	4940
83	452	4932
84	454	4888
85	455	4842
86	457	4796
87	458	4752
88	460	4713
89	463	4686
90	465	4646
91	466	4607
92	468	4569
93	470	4535
94	472	4501
95	474	4466
96	481	4479
97	483	4450
98	485	4416
99	487	4385
100	494	4398
101	497	4378
102	498	4344
103	500	4311
104	501	4278
105	503	4245
106	507	4238
107	510	4219
108	512	4190
109	514	4161
110	515	4130
111	517	4100
112	518	4071
113	525	4087
114	527	4061
115	529	4035
116	530	4006
117	532	3983
118	534	3958
119	539	3958
120	541	3934
121	542	3906
122	544	3880
123	545	3854
124	547	3830
125	551	3827
126	553	3803
127	555	3781
128	557	3765
129	559	3742
130	560	3719
131	562	3697
132	570	3720
133	572	3701
134	574	3682
135	576	3659
136	577	3640
137	585	3656
138	587	3638
139	589	3619
140	590	3599
141	591	3576
142	593	3559
143	599	3565
144	601	3549
145	603	3532
146	605	3516
147	608	3503
148	612	3497
149	615	3487
150	619	3481
151	625	3490
152	628	3478
153	630	3464
154	634	3458
155	638	3455
156	642	3448
157	645	3437
158	647	3424
159	650	3412
160	659	3435
161	661	3421
162	663	3407
163	666	3396
164	671	3396
165	676	3398
166	684	3415
167	687	3404
168	690	3393
169	698	3410
170	701	3398
171	703	3384
172	704	3368
173	706	3352
174	713	3364
175	716	3356
176	720	3349
177	729	3369
178	732	3359
179	735	3348
180	740	3350
181	747	3358
182	750	3351
183	763	3387
184	765	3373
185	776	3396
186	778	3383
